rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates,train/learning_rate,train/explained_variance
-91.68523406982422,288.0,1843,66,122880,30,0.2,0.004395044,0.0303466796875,22.527645874023438,10.084274291992188,-0.0038122727884911,0.9931459426879883,-7.052767503261566,290,0.0003,0.8842196464538574
-91.7166519165039,288.0,1863,68,126976,31,0.2,0.0044211033,0.0294677734375,18.173201966285706,8.475730895996094,-0.003397823465638794,0.9902874827384949,-7.054358696937561,300,0.0003,0.8895028233528137
-91.77494812011719,288.0,1877,69,131072,32,0.2,0.004469407,0.0153076171875,27.016719150543214,12.31348991394043,-0.0024163640890037643,0.9898822903633118,-7.0417351722717285,310,0.0003,0.8884641528129578
-91.75289916992188,288.0,1894,71,135168,33,0.2,0.0038042082,0.0255615234375,24.923948431015013,11.431379318237305,-0.0028993807412916795,0.9914851188659668,-7.048060119152069,320,0.0003,0.8859635591506958
-91.8709945678711,288.0,1892,73,139264,34,0.2,0.0041136,0.0218505859375,26.05265383720398,12.709878921508789,-0.002441364276455715,0.9903252720832825,-7.049502182006836,330,0.0003,0.8771809339523315
-91.94906616210938,288.0,1895,75,143360,35,0.2,0.004218432,0.0178955078125,16.331723594665526,8.354119300842285,-0.0025376277131726964,0.9943710565567017,-7.054217684268951,340,0.0003,0.9175514578819275
-92.03286743164062,288.0,1806,81,147456,36,0.2,0.0044088406,0.032421875,20.094907665252684,9.893107414245605,-0.003207599592860788,0.9987655878067017,-7.078208780288696,350,0.0003,0.9124823808670044
-92.00834655761719,288.0,1752,86,151552,37,0.2,0.004400348,0.019140625,22.101162052154542,9.758971214294434,-0.002803046166081913,0.999111533164978,-7.089760029315949,360,0.0003,0.9210853576660156
-92.06561279296875,288.0,1698,91,155648,38,0.2,0.0046783644,0.029248046875,21.056136560440063,9.755816459655762,-0.002769862022250891,0.998262882232666,-7.08806962966919,370,0.0003,0.9018888473510742
-92.06420135498047,288.0,1658,96,159744,39,0.2,0.00537125,0.0167724609375,18.127059054374694,8.219122886657715,-0.003663549752673134,0.9985247850418091,-7.084739303588867,380,0.0003,0.930056095123291
